gracintyAvyaktarUpAya	acintyAvyaktarUpAya
DarmapAdavyavasTayA	DarmapAdavyavasTayA
16	116
yugasya	yugasya
daSamo	daSamo
BAgaScatustridDayekasaNgaRa	BAgaScatustridvyekasaNguRaH
kramAt	kramAt
kftayugAdInAM	kftayugAdInAM
zazWAMSaH	zazWAMSaH
sanDyayoH	sanDyayoH
svakaH	svakaH
17	117
d	yugAnAM
N	saptatiH
ܠܗܝ	sEkA
ܠ	manvantaramihocyate
kftAbdasaNKayA^tasyAnte	kftAbdasaMKyAstasyAnte
sanDiH	sanDiH
prokto	prokto
jalaplavaH	jalaplava
18	118
sasanDayaste	sasanDayaste
manavaH	manavaH
kalpe	kalpe
jYeyAScaturdaSa	jYeyAScaturdaSa
kftapramARaH	kftapramARaH
kalpAdO	kalpAdO
sanDiH	sanDiH
paYcadaSaH	paYcadaSaH
smftaH	smftaH
1	119
itTaM	itTaM
yugasahasreRa	yugasahasreRa
BUtasaMhArakArakaH	BUtasaMhArakArakaH
kalpo	kalpo
brAhmamaha	brAhmamahaH
prottaM	proktaM
SASvarI	SarvarI
tasya	tasya
tAvatI	tAvatI
20	120
paramAyuH	paramAyuH
SataM	SataM
tasya	tasya
tayA$horAtrasaNKayayA	tayAhorAtrasaMKyayA
SraprAyuzo$rDamitaM	Ayuzo$rDamitaM
tasya	tasya
Sezakalpo$yamAdimaH	Sezakalpo$yamAdima
21	121
야니ICHI터	kalpAdasmAcca
vyatItAH	vyatItAH
sasanDayaH	sasanDayaH
vEvasvatasya	vEvasvatasya
ca	ca
manoryugAnAM	manoryugAnAM
triGano	triGano
gataH	gataH
22	122
SraprazwAviMSAdyugAdasmAdyAtametat	azwAviMSAdyugAdasmAdyAtametat
kftaM	kftaM
yugam	yugam
grataH	ataH
kAlaM	kAlaM
prasaNKayAya	prasaMKyAya
saNKayAmekatra	saMKyAmekatra
piRqayet	piRqayet
23	123
grahakzadevadEtyAdi	graharkzadevadEtyAdi
sfjato$sya	sfjato$sya
carAcaram	carAcaram
kftAdrivedA	kftAdrivedA
divyAbdAH	divyAbdAH
SataGA	SataGnA
veDaso	veDaso
gatAH	gatAH
24	124
paScAd	paScAd
vrajanto$tijavAnnakzatrEH	vrajanto$tijavAnnakzatrEH
satataM	satataM
grahAH	grahAH
jIyamAnAstu	jIyamAnAs^tu
lambante	lambante
tulyameva	tulyameva
svamArgagAH	svamArgagA
25	125
prAgagatitvamatastezAM	prAggatitvamatastezAM
BagaREH	BagaREH
pratyahaM	pratyahaM
gatiH	gatiH
pariRAhavaSAd^BinnA	pariRAhavaSAdBinnA
tadvaSAd^BAni	tadvaSAdBAni
BuYjate	BuYjate
26	126
SIGra^gastAnyaTA$lpena	SIGragastAnyaTAlpena
kAlena	kAlena
mahata$lpaga	mahatAlpagaH
tezAM	tezAM
tu	tu
parivartena	parivartena
pOzRAnte	pOzRAnte
BagaRaH	BagaRaH
smftaH	smftaH
27	127
vikalAnAM	vikalAnAM
kalA	kalA
zazwracyA	zazwyA
tatzapwacyA	tatzazwyA
BAga	BAga
ucyate	ucyate
tattriSatA	tattriMSatA
BavedrASirBagaRo	BavedrASirBagaRo
dvAdaSEva	dvAdaSEva
te	te
28	128
yuge	yuge
sUryajYaSukrARAM	sUryajYaSukrARAM
KacatuzkaradArRavAH	KacatuzkaradArRavAH
kujAkiMguruSIGrARAM	kujArkiguruSIGrARAM
BagaRAH	BagaRAH
pUrvazyAyinAm	pUrvayAyinAm
26	129
indo	indo
rasAgritritrIzu^saptaBUDaramArgaRAH	rasAgnitritrIzusaptaBUDaramArgaRAH
dastratrayazwarasANka^citalocanAni	dasratryazwarasANkAkzilocanAni
kajasya	kujasya
ta	tu
30	130
buDaSIGrasya	buDaSIGrasya
SUnyarturavAditryaNkanagendavaH	SUnyartuKAdritryaNkanagendava
bfhaspateH	bfhaspateH
ravadastrAkzi^vedazaqvahnayastaTA	KadasrAkzivedazaqvahnayastaTA
31	131
sitaSIGrasya	sitaSIGrasya
zawsaptatriyamASciravaBUDarAH	zawsaptatriyamASviKaBUDarAH
SanerBujaNgazawpaYcarasavedaniSAkarAH	SanerBujaNgazawpaYcarasavedaniSAkarAH
32	132
candroYcasyAgriSUnyASvivasusapArRavA	candroccasyAgniSUnyASvivasusarpArRavA
yuge	yuge
vAmaM	vAmaM
pAtasya	pAtasya
vasvagmiyamASciSiArivadastrakAH	vasvagniyamASviSiKidasrakAH
33	133
BAnAmazwAcitava^svadritridridrayazwaSarendava	BAnAm^azwAkzivasvadritridvidvyazwaSarendavaH
BodayA	BodayA
BagaREH	BagaREH
svEH	svEH
svErUnAH	svErUnAH
svasvodayA	svasvodayA
yuge	yuge
34	134
Bavanti	Bavanti
SaSino	SaSino
mAsAH	mAsAH
sUryenduBagaRAntaram	sUryenduBagaRAntaram
ravimAsonitAste	ravimAsonitAste
tu	tu
SezAH	SezAH
syuraDimAsakAH	syuraDimAsakAH
35	135
sAvanAhAni	sAvahAhAni
cAnwreByo	cAndreByo
dyuByaH	dyuByaH
projJaya	projJya
tiTikzayAH	tiTikzayAH
udayAdudayaM	udayAdudayaM
BAnorBUmisAvanavAsaraH	BAnorBUmisAvanavAsaraH
36	136
vasudDayazwAdrirUpAN^samAdritiTayo	vasudvyazwAdrirUpANkasaptAdritiTayo
yuge	yuge
cAndrAH	cAndrAH
KvAzwaravaravavyomaravAgmiravartuniSAkarAH	KAzwaKaKavyomaKAgniKartuniSAkarAH
37	137
zaqvahnitrihutASANkatiTayaScADimAsakAH	zaqvahnitrihutASANkatiTayaScADimAsakAH
tiTikzayA	tiTikzayA
yamATAMScidvakzyazwavyomaSarAScinaH	yamArTASvidvyazwavyomaSarASvinaH
38	138
KacatuzkasamudrAzwa^kupaYca	KacatuzkasamudrAzwakupaYca
ravimAsakAH	ravimAsakA
Bavanti	Bavanti
BodayA	BodayA
BAnuBagaRErUnitAH	BAnuBagaRErUnitAH
kvahAH	kvahAH
3	139
trapraDimAsonarAtryakzataM^cAndrasAvanavAsarAH	aDimAsonarAtryArkzacAndrasAvanavAsarAH
ete	ete
sahastraguRitAH	sahasraguRitAH
kalpe	kalpe
syurBagaRAdayaH	syurBagaRAdaya
40	140
prAggateH	prAggateH
sUryamandasya	sUryamandasya
kalpe	kalpe
saptAzwavahnayaH	saptAzwavahnayaH
kOjasya	kOjasya
vedaKayamA	vedaKayamA
bODasyAzwartuvahnayaH	bODasyAzwartuvahnayaH
41	141
KaravaranDrARi	KaKaranDrARi
jEvasya	jEvasya
SOkrasyArTaguRezava	SOkrasyArTaguRezavaH
go$gryayaH	go$gnayaH
SAnimandasya	Sanimandasya
pAtAnAmaTa	pAtAnAmaTa
vAmataH	vAmata
42	142
manudastrAstu	manudasrAstu
kOjasya	kOjasya
bODasyAzwAzwasAgarAH	bODasyAzwAzwasAgarAH
kftAdricandrA	kftAdricandrA
jEvasya	jEvasya
triravANkASca	triKANkASca
BfgostaTA	BfgostaTA
43	143
SAnipAtasya	SanipAtasya
BagaRAH	BagaRAH
kalpe	kalpe
yamarasartavaH	yamarasarttavaH
BagaRAH	BagaRAH
pUrvamevAtra	pUrvamevAtra
proktAScandroccapAtayoH	proktAScandroccapAtayoH
44	144
zaRamannanAM	zaRmanUnAM
ta	tu
sampIqanya	sampIqya
kAla	kAlaM
tatsanDiBiH	tatsanDiBiH
saha	saha
kalpAdisanDinA	kalpAdisanDinA
sArDa	sArDaM
vEvasvatamanostaTA	vEvasvatamanostaTA
45	145
yugAnAM	yugAnAM
triGanaM	triGanaM
yAtaM	yAtaM
taTA	taTA
kftayugaM	kftayugaM
tvidam	tvidam
projJaya	prohya
sfzwestataH	sfzwestataH
kAlaM	kAlaM
pUrvoktaM	pUrvoktaM
divyasaNKayayA	divyasaMKyayA
46	146
sUryAbdasaNyayA	sUryAbdasaMKyayA
jYeyA	jYeyAH
kftasyAnte	kftasyAnte
gAtA	gatA
gramI	amI
KacatuzkayamAdraSyagniSararanDraniSAkarAH	KacatuzkayamAdryagniSararanDraniSAkarAH
47	147
grata	ata
UDvaMmamI	UrDvamamI
yuktA	yuktA
gatakAlAbdasaNyayA	gatakAlAbdasaMKyayA
mAsIkftA	mAsIkftA
yutA	yutA
mAsErmaDuSuklAdiBirgatEH	mAsErmaDuSuklAdiBirgatEH
48	148
pfTaksTAste$DimAsaDrAH	pfTaksTAste$DimAsaGnAH
sUryamAsaviBAjitAH	sUryamAsaviBAjitAH
labDADimAsakEryuktA	labDADimAsakEryuktA
dinIkftya	dinIkftya
dinAnvitAH	dinAnvitAH
4	149
dDizWAstiTi^datayABayastAScAndravtrAsaraBAjitAH	dvizWAstiTikzayAByastAScAndravAsaraBAjitAH
labDonarAtrirohitA	labDonarAtrirahitA
laNkAyAmArDarAtrikaH	laNkAyAmArDarAtrikaH
50	150
sAvano	sAvano
dyugaRaH	dyugaRaH
sUryAddinamAsAbdapAstataH	sUryAddinamAsAbdapAstataH
sapmaBiH	saptaBiH
kzayitaH	kzayitaH
SezaH	SezaH
srayadyo	sUryAdyo
vAsareScaraH	vAsareSvaraH
51	151
mAsAbdadinasaNKayA$$ptaM	mAsAbdadinasaMKyAptaM
dvitriGnaM	dvitriGnaM
rUpasaMyutam	rUpasaMyutam
sappodDatAvaSezO	saptodDftAvaSezO
tu	tu
TvajYayA	vijYeyO
mAsavazapA	mAsavarzapO
52	152
yaTA	yaTA
svaBagaRAByasto	svaBaganAByasto
dinarASiH	dinarASiH
kuvAsarEH	kuvAsarEH
viBAjito	viBAjito
maDyagatyA	maDyagatyA
BagaRAdigraho	BagaRAdirgraho
Bavet	Bavet
53	153
evaM	evaM
svaSIGramandoccA	svaSIGramandoccA
ye	ye
proktAH	proktAH
pUrvvayAyinaH	pUrvayAyinaH
vilomagatayaH	vilomagatayaH
pAtAstadradDakrAda	pAtAstadvaccakrAd
viSoDitAH	viSoDitAH
54	154
dvAdaSaGrA	dvAdaSaGnA
guroryAtA	guroryAtA
BagaRA	BagaRA
vartamAnakEH	vartamAnakEH
rASiBiH	rASiBiH
sahitAH	sahitAH
SudDAH	SudDAH
zazwaSyA	zazwyA
syurvijayAdayaH	syurvijayAdayaH
55	155
vistareREtaduditaM	vistareREtaduditaM
saMkzepAd^vyAvahArikam	saMkzepAdvyAvahArikam
maDyamAnayanaM	maDyamAnayanaM
kArya	kAryaM
grahARAmizwato	grahARAmizwato
yugAt	yugAt
56	156
Sraprasmin	asmin
kftayugasyAnte	kftayugasyAnte
sarve	sarve
maDyagatA	maDyagatA
grahAH	grahAH
vinA	vinA
tu	tu
pAtamandoccAn	pAtamandoccAn
mezAdO	mezAdO
tulyatAmitAH	tulyatAmitAH
57	157
makarAdO	makarAdO
SaSANkoccaM	SaSANkoccaM
tatpAtastu	tatpAtastu
tulAdigaH	tulAdigaH
narSatva	niraMSatvaM
gAtASDAnya	gatAScAnye
nAttAsta	noktAste
mandAcAraRa	mandacAriRaH
58	158
yojanAni	yojanAni
SatAnyazwI	SatAnyazwO
BUkarRI	BUkarRo
dviguRAni	dviguRAni
tu	tu
tadvargato	tadvargato
daSaguRAt	daSaguRAt
padaM	padaM
BUpariDirBavet	BUpariDirBavet
5	159
lambajyAGrastrijIvAptaH	lambajyAGnastrijIvAptaH
sPuwo	sPuwo
BUpariDiH	BUpariDiH
svakaH	svakaH
tena	tena
deSAntarAByastA	deSAntarAByastA
grahaBuktiviMBAjitA	grahaBuktirviBAjitA
60	160
kalAdi	kalAdi
tatPalaM	tatPalaM
prAcyAM	prAcyAM
graheByaH	graheByaH
pariSoDayet	pariSoDayet
reKApratIcIsaMsTAne	reKApratIcIsaMsTAne
prakzipet	prakzipet
syuH	syuH
svadeSajA	svadeSajA
61	161
rAkzasAlayadevOkaH	rAkzasAlayadevOkaH
SElayormaDyasUtragAH	SElayormaDyasUtragAH
rohItakamavantI	rohItakamavantI
ca	ca
yaTA	yaTA
sannihitaM	sannihitaM
saraH	saraH
62	162
gratItyonmIlanAdindowraॅksidDirgaRitAgatAt	atItyonmIlanAdindoH^paScAt^tadgaRitAgatAt
yadA	yadA
Bavet^tadA	BavettadA
prAcyAM	prAcyAM
svasTAnaM	svasTAnaM
maDyato	maDyato
Bavet	Bavet
63	163
graprApya	aprApya
ca	ca
Bavet	Bavet
paScAdeva	paScAdevaM
vApi	vApi
nimIlanAt	nimIlanAt
tayorantaranAqIBihaMnyAda^BUpariDi	tayorantaranAqIBirhanyAdBUpariDiM
sPuwam	sPuwam
64	164
zazwayA	zazwyA
viBajya	viBajya
labDa^sta	labDEstu
yojanE	yojanEH
prAgATA^pare	prAgaTAparEH
svadeSaH	svadeSaH
pariDO	pariDO
jYeyaH	jYeyaH
karyAddeSAntaraM	kuryAddeSAntaraM
hi	hi
tEH	tEH
65	165
vArapravfttiH	vArapravfttiH
prAgdeSe	prAgdeSe
cakzapArDe$ByaDike	kzapArDe$ByaDike
Bavet	Bavet
taddeSAntaranAqIBiH	taddeSAntaranAqIBiH
paScAwUne	paScAdUne
vinirdiSet	vinirdiSet
66	166
izwanAqIguRA	izwanAqIguRA
BuktiH	BuktiH
zazwacyA	zazwyA
BaktA	BaktA
kalAdikam	kalAdikam
gate	gate
SoDyaM	SoDyaM
yutaM	yutaM
gamye	gamye
kftvA	kftvA
tAtkAliko	tAtkAliko
Bavet	Bavet
67	167
BacakralimA^SItyaMSa	BacakraliptASItyaMSaM
paramaM	paramaM
dakziRottaram	dakziRottaram
vikzipyate	vikzipyate
svapAtena	svapAtena
svakrAntyantAdanuzRaguH	svakrAntyantAdanuzRaguH
68	168
tannavAMSaM	tannavAMSaM
dviguRitaM	dviguRitaM
jIvastriguRitaM	jIvastriguRitaM
kujaH	kujaH
buDaSukrArkajAH	buDaSukrArkajAH
pAteviMcitapyante	pAtErvikzipyante
caturguRam	caturguRam
6rU	169
evaM	evaM
triGanaranDrArkarasAkAMkAM	triGanaranDrArkarasArkArkA
daSAhatAH	daSAhatAH
candrAdInAM	candrAdInAM
kramAwutA	kramAduktA
maDyavikzepalisikAH	maDyavikezepaliptikAH
1	170
spazwADikAra	spazwADikAraH
SrapradfSyarUpAH	adfSyarUpAH
kAlasya	kAlasya
mUrttayo	mUrtayo
BagaRASritAH	BagaRASritAH
SIGamandowwapAtAKyA	SIGramandoccapAtAKyA
grahARAM	grahARAM
gatihetava	gatihetavaH
1	201
tadrAtaraSimaBirbadDAste	tadvAtaraSmiBirbadDAstEH
savyetarapARiBiH	savyetarapARiBiH
prAk	prAk
paScAdapakfzyante	paScAdapakfzyante
yaTAsannaM	yaTAsannaM
svadiNguravam	svadiNmuKam
2	202
pravahAKyo	pravahAKyo
marut	marut
tAstu	tAMstu
svoYcABimuravamIraye	svoccABimuKamIrayet
pUrvAparApakfzwAste	pUrvAparAkfzwAste
gatiM	gatiM
yAnti	yAnti
pfTagviDAm	pfTagviDAm
3	203
grahAt	grahAt
prAgBagaRArDasTaH	prAgBagaRArDasTaH
prANguravaM	prANmuKaM
karzati	karzati
graham	graham
uccasaMjYo$parArDasTastadvatpaScAnmuravaM	uccasaMjYo$parArDasTastadvat^paScAnmuKaM
graham	graham
4	204
svoccApakfzwA	svoccApakfzwA
BagaREH	BagaREH
prANguravaM	prANmuKaM
yAnti	yAnti
yad^grahAH	yadgrahAH
tat^tezu	tattezu
DanamityuktaM	DanamityuktaM
PalaM	fRaM
paScAnmuKezvfRam	paScAnmuKezu
5	205
vaM	dakziRottarato$pyevaM
pAto	pAto
rAhuH	rAhuH
svaraMhasA	svaraMhasA
vi	vikzipatyeza
kzepa	vikzepaM
candrAdInAmapakramAt	candrAdInAmapakramAt
6	206
uttarABimaravaM	uttarABimuKaM
pAto	pAto
vikzipatyaparADIgaH	vikzipatyaparArDagaH
graha	grahaM
prAgBAgaRADIsTyo	prAgBagaRArDasTo
yAmyAyAmapakarzati	yAmyAyAmapakarzati
7	207
buDaBArgavayoH	buDaBArgavayoH
SIGrAt	SIGrAt
tadvat	tadvat
pAto	pAto
yadA	yadA
sTitaH	sTitaH
tacCIGrAkarzaRAt	tacCIGrAkarzaRAt
tO	tO
tu	tu
vikzipyete	vikzipyete
yaToktavat	yaToktavat
8	208
mahattvAnmaRaqalasyArkaH	mahatvAnmaRqalasyArkaH
svalpamevApakfzyate	svalpamevApakfzyate
maRaqalAlpatayA	maRqalAlpatayA
candrastato	candrastato
bahrapakfzyata	bahvapakfzyate
9	209
spazwADikAraH	BOmAdayo$lpamUrtitvAcCIGramandoccasaYjYakEH
sUya	sudUramativegitAH
221Surya	210
SrapratA	ato
DanaRa	DanarRaM
sumahat^tazA	sumahattezAM
gAtavaSAdBavat	gativaSAdBavet
SraprAkfzyamARAstErevaM	AkfzyamARAstErevaM
vyomri	vyomni
yAntyanilAhatAH	yAntyanilAhatAH
11	211
vavrakA$tivavrakA	vakrAtivakrA
vikalA	vikalA
mandA	mandA
manda^tara	mandatarA
samA	samA
taTA	taTA
SIGratArA	SIGratarA
SIGra	SIGrA
grahARAmazwaDA	grahARAmazwaDA
gatiH	gatiH
12	212
tatratiSIGA	tatrAtiSIGrA
SIGarawyA	SIGrAKyA
mandA	mandA
mandatarAsama	mandatarA^samA
fjvIti	fjvIti
paYcaDA	paYcaDA
jYeyA	jYeyA
yA	yA
vakrA	vakrA
sAtivakragA	sAtivakragA
13	213
tattadgativaSAnnityaM	tattadgativaSAn^nityaM
yaTA	yaTA
dfk^tulyatAM	dfktulyatAM
grahAH	grahAH
prayAnti	prayAnti
tat^pravactyAmi	tatpravakzyAmi
sPuwIkaraRamAdarAt	sPuwIkaraRamAdarAt
14	214
rASilipsAwamo	rASiliptAzwamo
BAga	BAgaH
praTamaM	praTamaM
jyArDamucyate	jyArDamucyate
tattadviBaktalabDonamiSritaM	tat^tadviBaktalabDonamiSritaM
tad	tad
dvitIyakam	dvitIyakam
15	215
SrAdyenEvaM	AdyenEvaM
kramAt	kramAt
piRqAn	piRqAn
BaktvA	BaktvA
labDonasaMyutAH	labDonasaMyutAH
KaRqakAH	KaRqakAH
syuScatuviSajyArDapiRqAH	syuScaturviMSajyArDapiRqAH
kramAdamI	kramAdamI
16	216
tattvASvino$NkAbDikftA	tattvASvino$NkAbDikftA
rUpaBUmiDarartavaH	rUpaBUmiDarartavaH
ravANkAzWI	KANkAzwO
paYcaSUnyeSA	paYcaSUnyeSA
bARarUpaguRendavaH	bARarUpaguRendavaH
17	217
N	SUnyalocanapaYcEkASCidrarUpamunIndavaH
ndrAtiDftayo	viyaccandrAtiDftayo
guRaranDrAmbarAScinaH	guRaranDrAmbarASvinaH
18	218
munizaqayamanetrARi	munizaqyamanetrARi
candrAgrikftadasrakAH	candrAgnikftadasrakAH
paYcAzwavizayActIRi	paYcAzwavizayAkzIRi
kuYjarASvinagASvinaH	kuYjarASvinagASvinaH
19	219
ranDrapaYcAzwakayamA	ranDrapaYcAzwakayamA
vasvadrakzyaNka^yAmAstaTA	vasvadryaNkayamAstaTA
kftAzwaSUnyajvalanA	kftAzwaSUnyajvalanA
nagAdriSaSivahaya	nagAdriSaSivahnayaH
20	220
zawpaYcalocanaguRAScandranetrAgmivahnayaH	zawpaYcalocanaguRAS^candranetrAgnivahnayaH
yamAdrivahnijvalanA	yamAdrivahnijvalanA
ranDraSUnyArRavAgrayaH	ranDraSUnyArnavAgnayaH
21	221
rUpAgrisAgaraguRA	rUpAgnisAgaraguRA
vasva^grikftavahayaH	vasvagnikftavahnayaH
projJayotkrameRa	prohyotkrameRa
vyAsArDAdutkramaYjyArDapiRqakAH	vyAsArDAdutkramajyArDapiRqikAH
22	222
munayo	munayo
ranDrayamalA	ranDrayamalA
rasazawkA	rasazawkA
munISvarAH	munISvarAH
dvayawekA	hyazwEkA
rUpazaqdastrAH	rUpazaqdasrAH
sAgarArTahutASanAH	sAgarArTahutASanAH
23	223
KvartuvedA	KartuvedA
navAdravyarTA	navAdyarTA
diNnAgAstryarTakuYjarAH	diNnAgAstryarTakuYjarAH
nagAmbaraviyaccandrA	nagAmbaraviyaccandrA
rUpaBUDaraSaNkarAH	rUpaBUDaraSaNkarAH
24	224
SarArRavahatASEkA	SarArRavahutASEkA
BujaNgAkziSarendavaH	BujaNgAkziSarendavaH
navarUpamahIDakA	navarUpamahIDrEkA
gajEkANka^niSAkarAH	gajEkANkaniSAkarAH
25	225
guRASvirUpanetrARi	guRASvirUpanetrARi
pAvakAgriguRASvinaH	pAvakAgniguRASvinaH
vasvarRavArTayamalAsturaNgartunagASvinaH	vasvarRavArTayamalAsturaNgartunagASvinaH
26	226
navAzwanavanetrARi	navAzwanavanetrARi
pAvakEkayamAgryayaH	pAvakEkayamAgnayaH
gajAgrisAgaraguRA^utkramaYjyArDapiRqakA	gajAgnisAgaraguRotkramajyArDapiRqakAH
27	227
paramApakramaYjyA	paramApakramajyA
tu	tu
sapsaranDraguRendava	saptaranDraguRendavaH
tadrURA	tadguRA
jyA	jyA
trijIvAzmA	trijIvAptA
tadyApaM	taccApaM
krAntirucyate	krAntirucyate
28	228
grahaM	grahaM
saMSoDya	saMSoDya
mandowwAt	mandoccAt
taTA	taTA
SIGrAda	SIGrAd
viSoDya	viSoDya
ca	ca
SezaM	SezaM
kendraM^padaM	kendrapadaM
tasmAd	tasmAd
BujajYyA	BujajyA
kowireva	kowireva
ca	ca
2	229
gatAd	gatAd
BujajYyA	BujajyA
vizame	vizame
gamyAt	gamyAt
kowiH	kowiH
pade	pade
Bavet	Bavet
yagme	yugme
tu	tu
gamyAda	gamyAd
bAhajyA	bAhujyA
kowijyA	kowijyA
tugatAda	tu^gatAd
Bavet	Bavet
30	230
lipsAstattvayamErBaktA	liptAstattvayamErBaktA
labDaM	labDaM
jyApiRqavakaM	jyApiRqikaM
gatam	gatAm
gatagamyAntarAByastaM	gatagamyAntarAByastaM
viBajet	viBajet
tattvalocanEH	tattvalocanEH
31	231
tadavApsaPala	tadavAptaPalaM
yojyaM	yojyaM
jyApiRaqe	jyApiRqe
gata^saMjYake	gatasaMjYake
syAt	syAt
kramajyAviDirayamutkramajyAsvapi	kramajyAviDirayaM^utkramajyAsvapi
smftaH	smftaH
32	232
jyAM	jyAM
projJaya	prohya
SezaM	SezaM
tattvASvihitaM	tattvASvihataM
tadvivarodDatam	tadvivarodDftam
saNyAtattvASvisaMvarge	saMKyAtattvASvisaMvarge
saMyojya	saMyojya
Danurucyate	Danurucyate
33	233
ravermandapariDyaMSA	ravermandapariDyaMSA
manavaH	manavaH
SItago	SItago
radAH	radAH
yagamAnte	yugmAnte
vizamAnte	vizamAnte
ca	tu
naravalipsonitAstayoH	naKaliptonitAstayoH
34	234
yugmAnte$rTAdrayaH	yugmAnte$rTAdrayaH
KvAgmiAsurAH	KAgnisurAH
sUryA	sUryA
navArRavAH	navArRavAH
groje	oje
dvayagA	dvyagA
vasuyamA	vasuyamA
radA	radA
rudrA	rudrA
gajAbDayaH	gajAbdayaH
35	235
kujAdInAmataH	kujAdInAmataH
SEGracyA	SIGrA
yugmAnte$TAMgridastrakAH	yugmAnte$rTAgnidasrakAH
guRAgmicandrAH	guRAgnicandrAH
KvanagA	KanagA
dvirasAkzIRi	dvirasAkzIRi
go$grayaH	go$gnayaH
36	236
trprojAnte	ojAnte
dvitriyamalA	dvitriyamalA
dvivitraSca	dviviSve
yamaparvvatAH	yamaparvatAH
ravartudastrA	KartudasrA
viyadvedAH	viyadvedAH
SIGrakarmaRi	SIGrakarmaRi
kIrtitAH	kIrtitAH
37	237
SrojayugmAntaraguRA	ojayugmAntaraguRA
BujajYyA	BujajyA
trijyayodDftA	trijyayodDftA
yugmavftte	yugme^vftte
DanarRa	DanarRaM
syAdojAdUne$Dike	syAdojAdUnADike
sPuwam	sPuwam
38	238
taduRe	tadguRe
