sUlamiti	mUlamiti
ityAdimandaSIGrapariDI	ityAdi^mandaSIGrapariDI
sPa़^wO	sPuwI
kAyOM	kAryo
tataSva	tataSca
sPUwaM	sPuwaM
mandIYca	mandoccaM
BOmAddiSoDya	BOmAdviSoDya
mandaPalamAnOya	mandaPalamAnIya
tadarDa	tadarDaM
karaRAgarI	karaRAgate
maDye	maDye
DanarRa	DanarRaM
kAryam	kAryam
punasta~	punastaM
SIGrAddiSIDya	SIGrAdviSoDya
SEIGraPalArDaM	SIGraPalArDaM
tatrEva	tatrEva
kAryam	kAryam
punarapi	punarapi
mandaSIGraPale	mandaSIGraPale
sakale	sakale
karaRAgate	karaRAgate
maDyame	maDyame
kArye	kArye
evaM	evaM
tAvadyAvadaviSezaH	tAvadyAvadaviSezaH
atra	atra
vAsanABOmaH	vAsanABOmaH
SIGrapratimaMRqalAduceyadAmavati	SIGrapratimaRqalAducce^yadA^Bavati
tadA	tadA
mandIcayaTAgatameva	mandoccaM^yaTAgatameva
Bavati	Bavati
tataH	tataH
krameRopacIyate	krameRopacIyate
kendra	kendraM
padArDa	padArDaM
tataYcApacIyataM	tataScApacIyate
padAntaM	padAntaM
yAvat	yAvat
evaM	evaM
caturTe	caturTe
pade$pi	pade$pi
dditIyabwatIyayISca	dvitIyatftIyayoSca
vEparItyena	vEparItyena
padsanDizu	padasanDizu
catuzvapi	caturzvapi
karaRAgata	karaRAgata
evAntare	evAntare
trErASikakalpanA	trErASikakalpanA
mandasaMskArAt	mandasaMskArAt
36	36
idAnIOM	idAnIM
buDasuragurusIOrARa	buDasuragurusOrARAM
mandarSIGrapariDIn	mandaSIGrapariDIn
SukraKya	Sukrasya
vizamasamapadayormandaSIGrapariDIMSva	vizamasamapadayormandaSIGrapariDIMSca
KAgatAdvaktaccayenAha	svAgatAvfttadvayenAha
jYasya	jYasya
mandapariDirvasurAmA	mandapariDirvasurAmAH
38	38
prasPuwa	prasPuwaH
suragurorapi	suragurorapi
devoH	deevAH
33	33
carvIjasya	arkajasya
KaguRA	KguRAH
30	30
SaSisUnoH	SaSisUnoH
SIGrajI	SIGrajo
dviguRacandramasaSva	dviSuRacandramasaSca
132	132
37	37
22	170
–––sidDAntaSpaSqaM	sidDAntaSeKare
1	1
vAkpatervasurasAH	vAkpatervasurasAH
68	68
SararAmA	SararAmA
35	35
BAskarerBUgusutaKa	BAskarerBfgusutasya
ca	ca
mandO	mandO
SrIjayugmapariDO	ojayugamapariDO
nava	nava
rudrA	rudrA
11	11
2	2
struAtkati	struzatkfti
263	263
vEsurasASKi	rvasurasASvi
268	268
ca	ca
SEGrO	SEGrO
38	38
buDasya	buDasya
vasurAm	vasurAmA
cezwatriMSad	azwatriMSad
38	38
BAgA	BAgAH
prasPuwI	prasPuwo
mandapariDiH	mandapariDiH
mandanIcIcaCattasya	mandanIcoccavfttasya
sPuwAH	sPuwAH
pariDiBAgA	pariDiBAgA
PeyA	jYeyA
ityarTaH	ityarTaH
suragurorapi	suragurorapi
devAKayaKiMSat	devAstrayastriMSat
33	33
mandasya	mandasya
KaguRAstriMSat	KaguRAstriMSat
30	30
etErmandraPalAnayanaM	etErmandaPalAnayanaM
kAryam	kAryam
buDasya	buDasya
SIGrajaH	SIGrajaH
pariDiH	pariDiH
SIGrIcaH	SIGrocca
nOcadvataKapariDiBAgA	nIcavfttasyapariDiBAgA
ddiguRacandramasaH	dviguRacandramasaH
dasrAgnicandrAH	dasrAgnicandrAH
132	132
vAkpatergurovEsurasA	vAkpatergurorvasurasA
pazwazazwi	azwazazwiH
68	68
mandasya	mandasya
SrarAmA	SararAmAH
paYcaviMSat	paYcatriMSat
35	35
etE	etEH
SIGraPalA^1	SIGraPalA1
ra	atra
vA	vA
kvate	kfte
vasurasA	vasurasAH
iti	iti
2	2
Satra	atra
sUvatirmESvaraKAvi	sUtkftirvasurasAgni
iti	iti
za	ca
mU	BU
pAWa	pAWaH
Tbra^prasPuwasidDAnta	brahmasPuwasidDAnte
buDamandapariDiBAgA	buDamandapariDiBAgA
vasurAmA	vasurAmAH
38	38
suragurIstrayastriMSat	suragurostrayastriMSat
33	33
ravizjasya	ravijasya
SUnyarAmA	SUnyarAmA
30	30
jYarOGraparicirciguRacandrA	jYaSIGrapariDirdviguRacandrAH
132	132
debaragurIrazwarasA	devagurorazwarasA
I8	68
BAskaraputrasya	BAskaraputrasya
eraratuRA	SaraguRAH
35	35
spazwA	spazwAH
mandISvanEOcadvatamya	mandoccanIcavfttasya
pariDiBAgA	pariDiBAgAH
sitasya	sitasya
vizamAnta	vizamAnte
navaM	nava
DugmAnta	9^yugmAnte
rudrA	rudrAH
11	11
SEGrOjAnta^$gnirasayamalA	SIGrOjAnte$gnirasayamalAH
983	263
yugmAnta$zwaSrayamA	yugmAnte$zwaSarayamA
958	258
mandaPalAnmaDyama	mandaPalAnmaDyamaH
sP^wI	sPuwo
maDya	maDyaH
BEOGraPalAt	SIGraPalAt
spazwI$sakkadevaM	spazwo$sakfdevaM
svaPalESa^gurusOrA	svaPalErjYagurusOrAH
dfrti	iti
brahnarAmrEokna	brahmaguptoktaM
savEmebo^taTEvaTropatinABAskarAcArTeRaca	sarvameva
taTEva	taTEva
prakrimiti	praktimiti
kevarla	kevalaM
Sukrasya	Sukrasya
yugmAnto	yugmAnte
mandapariDi	mandapariDiH
brahmaguptIktI$zwaSarayamA	vrahmaguptokto$zwaSarayamAH
258	258
BAskaraRa	BAskareRa
bamfbARadaKA	vasabARapadasrAH
258	258
ityUcyate	ityucyate
taca	tatra
sidDAntaSeKara	sidDAntaSeKare
vasurasAtri	vasurASiSca
ca	ca
dErGO	SEGrO
ityuktayA	ityuktvA
298	268
etAvAn	etAvAn
Bavati	Bavati
sa	sa
kadAcit	kadAcit
basugarAtriiti	vasuSarASvi^iti
pAWI	pAWo
leKakaparamparayA	leKakaparamparayA
parivarttiMtI$BUditi	parivarttito$BUditi
pratIyate	pratIyate
zaca	atra
BAskarAcADA~JA	BAskarAcAryoktaM
spArwIkaraRa	spazwIkaraRaM
sarvametadanurUpameva	sarvametadanurUpameva
kintu	kintu
BanermandapariDiBAgI	SanermandapariDiBAgA
atra	atra
30	30
BAskareRa	BAskareRa
50	50
gwahOtA	gfhItAH
evamaca	evamatra
Bane	SaneH
gOGrapariDiBAgA	SIGrapariDiBAgAH
35	35
BAsJareRa	BAskareRa
ca	ca
40	40
gfhOtA	gfhItAH
kena	kena
hetunA	hetunA
BAKAgRa	BAskareRa
BAskarapacamya	BAskarapatrasya
pariDiBAMIzwa	pariDiBAgezu
vEzamyaM	vEzamyaM
ktamiti	kftamiti
suDEOBivEiBAvanIyam	suDIBirviBAvanIyam
caturvedAcAryawOkAyAM	caturvedAcAryawIkAyAM
yAwwaRa	yAdfSaH
pAWastAdfSa	pAWastAdfSa
evAsABirmale	evAsmABirmale
nivegita	niveSitaH
SracIpapattipfTUdakaKAminA	atropapattiHpfTUdakasvAminA
caturvedAcAryeRopalaSvirevABihitA	caturvedAcAryeRopalabDirevABihitA
yadIdfSE	yadIdfSo
braJopalaSvisIi	brahmopalabDistarhi
yadi	yadi
dfggaRitEkAkkasarci	dfggaRitEkyakfttarhi
–kzIBavati5rftyANgustO$travEzamyaScuuMdDewavati1	mAnyaveti^ityAhusto$tra^vEzamyasamADAnaM^durGawameveti
sPuwADyAyaH	sPuwADyAya
171	171
nayanaM	nayanaM
yata	yata
ezAM	ezAM
saMskAro	saMskAro
nAsti	nAsti
vAsanA	vAsanA
cEzAmupalabDireva	cEzAmupalabDireva
paramaPalavaSyAdditi	paramaPalavaSAditi
Brawagusutasya	Bfgusutasya
Sukrasya	Sukrasya
mandO	mandO
mandIcanIcavattaMsasbanDinO	mandoccanIcavfttasambanDinO
SrIjayugmapariDI	ojayugmapariDI
tatrOjAnte	tatrOjAnte
bizame	vizame
nava	nava
yugme	yugme
yugBAnte	yugBAnte
ekAdaSa	ekAdaSa
11	11
taTA	taTA
SEGrO	SEGrO
SOGroccanIcadvattasambanDinAvIjayugmapariDI	SIGroccanIcavfttasambanDinAvojayugmapariDI
SIGnIjAnte	SIGrIjAnte
trahakAtiHcannirasayamaloH	tatkftiH^agnirasayamalAH
263AnAH^ta	263^SIGrayugmAnte
vasuSrAgviindvekavijYAvASvapuMsakatvam	vasuSarASvidvandvEkavadBAvAnnapuMsakatvam
azwarasayamalA	azwarasayamalA
268	268
ityarTaH	ityarTaH
ime	ime
ca	ca
mandaSIGrapariDayaH	mandaSIGrapariDayaH
praTamaLatIyayorante	praTamatftIyayorante
dvitIyawatIyayoSvAnte	dvitIyatftIyoScAnte
pleyAH	jYeyAH
SravAntare	avAntare
ca	ca
trErASikam	trErASikam
yadojayuk	yadojayuk
pariDijAntaraniGnItyAdikzIkIjYAM	pariDijAntaraniGnItyAdiSlokoktaM
vAryam	kAryam
38	38
idAnImupendravaScayA	idAnImupendravajrA
sPuwaprakAraM	sPuwaprakAraM
viSdayati^洛^buDAdikAnAM	viSadayatibuDAdikAnAM
tu	tu
parisPuwatvaMPaliyenEvamaKaRqitena	parisPuwatvaM^PaladvayenEvamaKaRqitena
maDyasyawE	maDyasPuwE
1	1
kyasya	kyasya
dalaM	dalaM
ca	ca
maDyaM	maDyaM
prakalpA	prakalpya
2	2
tasmAdasakkat	tasmAdasakft
sPwatvam39	sPuwatvam^39
buDAdInAM	buDAdInAM
caturRAmevamujYAprakAreRAKaRqitena	caturRAmevasuptAprakAreRAKaRqitena
Paladdayena	Paladvayena
mandaSIGrAKyena	mandaSIGrAKyena
pari^sPuwatvaM	pIvasPuwatvaM
Bavati	Bavati
tuSbdI	tuSabdo
BOmAddiSzadItanArTE	BOmAdviSezadyotanArTaH
tameva	tameva
viSezaRamAcha	viSezaRamAha
maDyasPUweti	maDyasPuweti
maDyasya	maDyasya
ca	ca
sPa^wasya	sPuwasya
cayadEkyaMtasyadalaM	ca^yadEkyaM^tasya^dalaM
maDyaM	maDyaM
prakalpaya	prakalpya
tasmA^JandIcaviSIDanAdika	tasmAndoccaviSoDanAdikaM
karmAsaktAt	karmAsakft
kAryam	kAryam
tata	tataH
sPwatvaM	sPuwatvaM
jYeyam	jYeyam
tatra	tatra
tAvat	tAvat
SukrasyOjayugmapariDInAM	SukrasyOjayugmapariDInAM
BinnatvAt	BinnatvAt
prayogo$BiDIyate	prayogo$BiDIyate
yaTezwakAlikamizwadevasika	yaTezwakAlikamizwadEvasikaM
buDAdikAnAM	buDAdikAnAM
tu	tu
parisPa़^watvamityAdinA	parisPuwatvamityAdinA
mandarOGraPalasaMskAraviDinA	mandaSIGraPalasaMskA^raviDinA
prAguktEna	prAguktena
mandaSOGrapariDipramARakaTanena	mandagovapagiDapramARa^kaTanena
ca	ca
saDETEva	sarvaTEva
brahmaguptAcAyEkatameva	brahmaguptAcAryakftameva
grispazwIkaraRaM	grahaspazwIkaraRaM
SrOpatinA	SrIpatinA
tadanu	tadanu
BAskarAcAryaRa	BAskarAcAryeRa
ca	ca
gwahItamiti	gfhItamiti
tatrAsakkalkamEkaraRe	tatrAsakftkarmakaraRe
maDyasPa^wEkyasya	maDyaMsPuwEkyasya
talaM	talaM
ca	ca
BaDyamiti	maDyamiti
OpaterviSeza	SrIpaterviSezaH
kujasya	kujasya
spazwOkaraRa$pyacarajYo	spazwIkaraRe$pyakzarajYo
brahmagBaSrOpatiBAskarARAM	brahmaguptaSrIpatiBAskarARAM
na	na
ko$pi	ko$pi
viSeza	viSeza
dUti^SrAryaBawasyAjYAnAnJaDyamamandIScarSOGaparirDInAm	itiAryaBawasyAjYAnAnmaDyamandoccaSIGrapariDinAm
na	na
spazwA	spazwA
BOmAdyA	BOmAdyAH
spazwA	spazwA
brAhmIka़^maDyIce1	brahyoktamaDyoccEH^1
iMtiM	iti
brahmaguptIkatA	brahmaguptoktyA
tatspazwIkaraRasya	tatspazwIkaraRasya
vAstavatvamavagatyEveti	vAstavatvamavagatyEveti
samyagavagamyate	samyagavagamyate
1	1
atra	atra
maDyasPa^wErasya	maDyasPuwErasya
dalam	dalam
iti	iti
pAWa	pAWaH
172	172
sidDAntaSeKare	sidDAntaSeKare
SukraM	SukraM
saMKyApya	saMsTApya
tasmAnmandIcaM	tasmAnmandocca
viSoDya	viSoDya
kendraM	kendraM
Bavati	Bavati
kendrAt	kendrAt
BujajyotAvat	Bujajyoktavat
kAryA	kAryA
tataH	tataH
SrIjayukpariDijAntaratyAdyuktanyAyena	aojayukpariDijAntaretyAdyuktanyAyena
sPaM^wamandrapariDiH	sPuwamandapariDiH
kAyeH	kAryaH
tena	tena
dojryAM	dorjyA
saMguRayya	saMguRayya
cakrAMSEIret	cakrAMSErharet
labDasya	labDasya
cApaM	cApaM
mandaPalaM	mandaPalaM
Bavati	Bavati
sa	sa
ca	ca
mezAdikendraM	mezAdikendre
maDyaSek	maDyaSukre
cataya	kzayaH
tuKAdike	tulAdike
DanamevaM	Danameva
maDyamI	maDyamo
Bavati	Bavati
yI	yo
mandasPuwaM	mandasPuwa
ityucyate	ityucyate
tatastanmaDyamaM	tatastanmaDyamaM
tAtkAlikAt	tAtkAlikAt
KaSOGrAddiSoDya	svaSIGrAdviSoDya
SizwaM	SizwaM
SIGrakendram	SIGrakendram
tasmAduktavaddoHkowijye	tasmAduktavaddoHkowijye
tatI	tato
dIjyayA	dorjyayA
pariDi	pariDiH
sPuwIkArya	sPuwIkAryaH
tena	tena
dIvowijye	doHkowijye
hatvA	hatvA
cakraSEiMIret	cakrAMSErharet
labDe	labDe
dokoowiPale	doHkowiPale
tataH	tataH
kowiPalena	kowiPalena
DanamfRaswaRsQazviKijyakAyAmityAdinA	DanamfRamfRamfdDistrijyAkAyAmityAdinA
karRe	karRaH
kArya	kAryaH
tatI	tato
dIPaletyAdinA	doHPaletyAdinA
SIGraPalAnayanaM	SIGraPalAnayanaM
tasya	tasya
cApEOkaraRaM	cApIkaraRaM
tanmandasPuwe	tanmandasPuwe
Sukre	Sukre
mezArdO	mezAdO
SIGrakendra	SIGrakendre
DanaM	DanaM
tulAdAdvaRamevaM	tulAdAvfRamevaM
ca	ca
sPuwiyasiKaM	sPuwadvayasidDaM
tatastaM	tatastaM
maDyamaM	maDyamaM
prakalpaya	prakalpya
tasmAnmandIcaM	tasmAnmandocca
viSoD0	viSoDya
mandaPalaM	mandaPalaM
kAryam	kAryam
tatkaraRAgatamaDyama	tatkaraRAgatamaDyame
DanaswaRaM	DanamfRaM
vA	vA
kalvA	kftvA
maDyamI	maDyamo
mandasPuwa	mandasPuwaH
kAryeH	kAryaH
taM	taM
ca	ca
SIGrAddiSoDya	SIGrAdviSoDya
SIGraPalamAnayet	SIGraPalamAnayet
tadantare	tadantare
mandasPuwa	mandasPuwe
DanamfRaM	DanamfRaM
vA	vA
kvatvA	kftvA
sPuwaSukro	sPuwaSukro
Bavati	Bavati
evaM	evaM
tAvadaviSezasPa़waddayasya	tAvadaviSezasPuwadvayasya
tAvat	tAvat
kAryam	kAryam
kintvatra	kintvatra
pratikarma	pratikarma
pariDisPuwaniyamaH	pariDisPuwaniyamaH
anena	anena
prakAreRa	prakAreRa
jYagurusIrA	jYagurusOrA
asakkat	asakft
KaKapariDiBi	svasvapariDiBiH
sPa^wanIyA	sPuwanIyAH
38	39
aDunA$rkenduBuktisPuwAnAyAraTodDatAvfttadvayamAhamandakendragatirarkacandrayI^jyAntareRa	aDunA$rkenduBuktisPuwAnAyAraTodDatAvfttadvayamAhamandakendragatirarkacandrayorjyAntareRa
guRitA1	guRitA1
hftA$$dyayA	hftA$$dyayA
jIvayA	jIvayA
223	223
KapariRAhftAqa़itA	svapariRAhatAड़itA
2KatrAma	2KartturAma
36o	360
vihftA	vihftA
gateH	gateH
Palam	Palam
40	40
1aca	1^atra
gatAdya	gatAdya
vA	vA
iti	iti
taTA2	taTA2
Baca	atra
KarjurAma	KajurAma
iti	iti
calUpAWaT	ca^mU^pAWaH
grahrimandakendraBuktivyantaraguRitA$$dyabrOvayA	grahamandakendraBuktirjyAntaraguRitA$$dyajIvayA
214	214
BaktA	BaktA
labDa	labDaM
sPwapariDiGnaM	sPuwapariDiGnaRa
BagaRAMScataM	BagaRAMSahftaM
kalABitu	kalABistu
mfgakakyOdAvUnAcikA	mfgakarkyAdAvUnADikA
KamaDyamagatiH	KamaDyamagati
sPawA$rkendI	sPuwA$rkendvoH
sPa़्waBuktirartOtEzyagrakAntaraM	sPuwaBuktiratItEzyagrahAntaraM
vatEmAne$hi	varttamAne$hni
iti	iti
brahmaraSuptoktameva	brahmaguptoktameva
lallAcAryaRa^jyAKaRqakena	lallAcAryeRajyAKaRqakena
guRitA	guRitA
mfdukendrajena	mfdukendrajena
Buktiryahasya	Buktirgrahasya
gurayugmayame	SarayugmayamE
225	225
rviBaktA	rviBaktA
KuRRA	kzuRRA
sPa़wena	sPuwena
guRakena	guRakena
dratA	hftA
KanAgE	KanAgE
80	80
KEiptA	rliptA
gate	gateH
PalamfRaM	PalamfRaM
Danamuktavaca	Danamuktavacca
sPuwADyAyaH	sPuwADyAyaH
173	173
AAdyaturyapadyAstawUnitA	AdyaturyapadayostadUnitA
maDyayIstadaDikA	maDyayostadaDikA
sPwA	sPuwA
gati	gatiH
yAtayeyadinajagrahAntaraM	yAtayeyadinajagrahAntaraM
varttamAnadivase	varttamAnadivase
gati	gatiH
sP^wA	sPuwA
41	41
akaॅnqIrmandakendragatiM	arkendvormandakendragatiM
mandoccamaDyagrahAddiSIDya	mandoccamaDyagrahAdviSoDya
SizwaM	SizwaM
yaTA	yaTA
kendra	kendraM
Bavati	Bavati
taTA	taTA
grachamaDyaBuNkta	grahamaDyaBukteH
rUmandIcaBuktaHi	svamandoccaBuktiM
viSIDya	viSoDya
SizwA	SizwA
mandakendragati	mandakendragatiH
sA	sA
ca	ca
jyAntareRAviSezamandakarmaRi	jyAntareRAviSezamandakarmaRi
dojyIyAM	dorjyAyAM
yat	yat
jyAntaraM	jyAntaraM
tena	tena
guRitA$$dayayA	guRitA$$dyayA
jIbayA	jIvayA
SrAdyajyADena	AdyajyArDena
guRAdasvabAqu	guRAdasrabAhu
223	223
saMKyakena	saMKyakena
hftA	hftA
kAryA	kAryA
tatra	tatra
labDaM	labDaM
KapariRArhena	svapariRAhena
KasPuwapariDinA	svasPuwapariDinA
tAqa़itA	tAड़itA
KartturAmEScakAMSeH	KartturAmEScakrASEH
360	360
hftA	hftA
garteH	gateH
saMskArakaM	saMskArakaM
PalaM	PalaM
Bavati	Bavati
SrAdyaturyepadayormakarAdO	AdyaturyapadayormakarAdO
tadUnitA	tadUnitA
tena	tena
PalenInitA	PalenonitA
maDyayI	maDyayoH
pradyI	padayoH
kavaya~AdO	karkyAdO
tadaDikA	tadaDikA
tanADikA	tenADikA
gatirmaDyamAtmikA	gatirmaDyamAtmikA
sPa^wA	sPuwA
BavatItyarTa	BavatItyarTaH
evaM	evaM
gaRitena	gaRitena
sPuwaBuktijYAnAyIpAyamantyArDenAc	sPuwaBuktijYAnAyopAyamantyarDenAha
yAtetiizwayahrasyotAvat	yAtetiizwagrahasyoktavat
sta^wIkaraRaM	sPuwIkaraRaM
JalvA	kftvA
taddadanantarAtItadine	tadvadanantarAtItadine
sPwaM	sPuwaM
kAryam	kAryam
tayo	tayoH
sPa^wayIgracayoryadantaraM	sPuwayorgrahayoryadantaraM
tadihra	tadiha
yAtayeyadinajagrahAntaramucyate	yAtayeyadinajagrahAntaramucyate
sA	sA
grahasya	grahasya
varttamAnadinajAtA	varttamAnadinajAtA
sPawA	sPuwA
sUcyA	sUkzmA
gatirBavati	gatirBavati
evaM	evaM
nirantaradinaddayagrahrisPuwAntarameva	nirantaradinadvayagrahasPuwAntarameva
sPuwaBuktitva^na	sPuwaBuktitvena
grAhyam	grAhyam
ezEva	ezEva
vyavahArayogyA	vyavahArayogyA
anyaTA	anyaTA
praTamajyArDAdUnaBuktInAM	praTamajyArDAdUnaBuktInAM
grachARaM	grahARAM
ravijYagurusitataH^mandAnAM	ravijYagurusitamandAnAM
sPa^waBuktaravagantumaSkyatvAt	sPuwaBukteravagantumaSakyatvAt
pratictRaM	pratikzaRaM
sP^waButiranyaTA$nyazyABAvAditi	sPuwaBukteranyaTA$nyaTABAvAditi
yA	yA
tu	tu
mandakendragatirityAdinA	mandakendragatirityAdinA
Buka़irutvA	BuktiruktA
sA$rkacandryoH	sA$rkacandrayoH
paramArTaBukti	paramArTaBuktiH
yatasto	yatastO
mandapratimaRqale	mandapratimaRqale
Bvamata	BramataH
BImAdInAM	BOmAdInAM
sA	sA
mandrasta^waBuMkti	mandasPuwaBuktiH
ityanena	ityanena
pariDyaSAn	pariDyaMSAn
cakrIguTa	cakrASAMSca
sArDacaturBirapavasEgna	sArDacaturBirapavarttya
sPuwaguRako$BOtiya	sPawaguRako$SItiSca
80	80
guRakaBAjakI	guRakaBAjakO
ka़tvA	kftvA
mandaspazwagatisADanamutAm	manda^spazwagatisADanamuktam
a~OpatinA	SrIpatinA
tvavikalameva	tvavikalameva
brahmaratuptonnataM	brahmaguptoktaM
JIkAntacittAtsUryamidDAntatvaM	SlokAntareRocyate^sUryasidDAnte$pyevamevedaM
mandfg	manda
spazwagatisADanamutAm	spazwagatisADanamuktam
kevalamatra	kevalamatra
BAskarAcAryaRa	BAskarAcAryeRa
tAtkAlikaBIgyaKagaqa़	tAtkAlikaBogyaKaRqaM
gwahOtvA	gfhItvA
tAtkAlikaM	tAtkAlikaM
gatiPalaM	gatiPalaM
kowO	kowI
PalaGnO	PalaGno
mfdukendraBuktirityAdinA	mfdukendraBukti^rityAdinA
sUtvA	sUkzmaM
sADitamiti	sADitamiti
brahmaguptAdyuka़O	brahmaguptAdyuktO
kOdfSO	kIdfSI
sTUlatA	sTUlatA
BAskarIkaM	BAskarokteH
kopapani^rityAdi	kopapattirityAdi
BokrasidDvAntaSrIimEraramaNgurucaraRAnAM	BAskarasidDAntaSiromaRerasmadgurucaraRAnAM
sUryEsiNGA^ntawOkAyA	sUryasidDAntawIkAyAH
BuvAvarziRwnAyIvaseGamalaM	suDAvarziRyAyAvaseyamalaM
pavitena	pallavitena
174	174
sidDAntaSeKare	sidDAntaSeKare
atra	atra
vAsanAkactAmaRqaleraviccanwrI	vAsanA^kakzAmaRqe^raviScandro
vA	vA
yatra	yatra
pradeSa	pradeSe
vartate	varttate
BOmAdInAM	BOmAdInAM
KaSIGna	svaSIGre
nIcIcavattamaDyaM	nIcoccavfttamaDyaM
vA	vA
tatra	tatra
yat	yat
jyAntaraM	jyAntaraM
tana	tena
sahf	saha
cErASikam	trErASikam
yadi	yadi
tatsvayamE	tattvayamE
225	225
jyantaraM	rjyAntaraM
laByate	laByate
mandrakendraBuktiliptABi	mandakendraBuktiliptABiH
kimiti	kimiti
tato	tato
citIyam	dvitIyam
yadi	yadi
zazwiStatraya	zazwigatatraya
350	360
vattaM	vftte
PalajyArDametAvat	PalajyArDametAvat
KamandanIcoccazWata	svamandanIcoccavftte
kiyaditi	kiyaditi
tatastftOyam	tatastftIyam
yadi	yadi
guRadasra1bAqu	guRadasra1bAhu
223	223
saMKyaKya	saMKyasya
jyAPalasya	jyAPalasya
tattvayuma	tattvayama
225	225
saMKyAKApaliptAstadasya	saMKyAScApaliptAstadasya
Palasya	Palasya
kiyadityAdye	kiyadityAdye
trErASike	trErASike
tattvayamA	tattvayamA
225	225
BAgahrAra	BAgahAraH
tvatIya	tftIye
guRakAra	guRakAraH
pratastayInORi	atastftIyornASe
manwkeMdraBukliliptAnAM	mandakendraBuktiliptAnAM
jyAntaraM	jyAntaraM
guRakArI	guRakAraH
SrAdyajIvA	aAdyajIvA
BAgahAraH	BAgahAraH
tato	tato
yadApta	yadAptaM
tasya	tasya
KapariDirguRakAraH	svapariDirguRakAraH
cakrAMSA	cakrAMSA
BAgacAraH	BAgahAraH
PalaM	PalaM
KaBuktAvupacayo$pacayo	svaBuktAnupacayo$pacayo
vA	vA
yatra	yatra
kacvAmaRqalAt	kakzAmaRqalAt
pratimaRqalasupari	pratimaRqalamupari
tatra	tatra
BuNktIrupacaya	BukterupacayaH
yatrADastatrApacayaH	yatrADastatrApacayaH
Sratevoktam	atevoktam
bAryeturyapadayorityAdi	AryaturyapadayorityAdi
sarvamidaM	sarvamidaM
yaTAnyastazu	yaTAnyastezu
kactAmaRqalAdizu	kakzAmaRqalAdizu
pradarSayat	pradarSayet
4o41	4041
aDunA	aDunA
kujAdisPuwaButAyAnayane	kujAdisPuwaBuktAnayane
viSezaM	viSezaM
doDakavfttaddayenAha^caYcalakendra1gatiH^PalaBogyajyAguRitA$$dA2guRena	doDakavfttadvayenAha^caYcalakendra1gatiH^PalaBogyajyAguRitA$$dya2guRena
223	223
viBaptA	viBaktA
vyAsadala	vyAsadala
3415	3415
nnaPalaM	GnaPalaM
SrutiBaptAM	SrutiBaktaM
